 16.76 6.02 1.02 2.11 8.83 6.81 47.54 60.07 0.78 3.18 3.46 1.54 27.71 47.47 0.70 1.43 12.72 1.53
 13.67 3.70 0.70 0.05 11.70 3.04 38.95 49.33 1.28 3.62 2.85 0.39 17.73 38.89 0.78 2.19 7.29 0.08
 16.75 3.11 1.91 1.73 14.08 0.38 23.18 52.92 0.61 3.73 5.10 2.00 15.10 23.28 -0.15 2.11 7.91 0.85
 15.47 2.40 2.62 1.23 15.33 4.84 22.60 67.22 0.79 2.52 6.97 4.59 13.83 22.76 1.40 2.38 12.51 0.26
 12.60 -0.35 1.42 4.82 15.25 11.85 50.11 67.09 0.49 1.43 6.54 6.80 18.75 50.04 0.68 2.03 14.39 -0.49
 14.96 0.89 1.67 7.37 14.55 12.78 49.30 59.40 0.41 1.45 7.32 6.31 21.20 49.21 1.34 2.17 14.23 -0.30
 17.24 0.93 2.97 11.29 13.88 14.12 38.61 48.00 0.70 2.30 10.05 8.92 17.78 38.56 2.47 2.28 19.07 0.32
 17.07 0.52 3.18 11.92 14.74 13.46 47.49 41.56 1.10 2.64 10.46 9.91 19.89 47.34 3.35 2.96 15.09 0.32
 19.90 2.04 4.71 13.30 15.42 13.63 50.93 44.82 1.53 4.69 12.95 10.94 13.89 50.75 4.11 3.76 16.25 1.71
 23.66 4.95 7.92 20.76 15.27 17.31 40.82 48.92 0.70 8.53 19.53 14.67 16.97 40.77 6.38 4.68 16.53 4.58
 31.28 13.94 16.48 20.71 19.12 17.66 52.76 47.75 2.51 16.25 24.68 15.27 33.60 52.64 11.90 7.33 20.52 8.76
 33.34 23.85 17.33 17.28 17.46 17.09 77.88 40.80 2.43 15.01 19.81 17.08 45.21 77.53 20.91 9.01 23.51 7.51
 35.14 25.97 18.97 10.18 16.06 18.99 91.66 46.11 3.48 20.15 23.49 15.73 49.55 91.21 20.98 9.80 29.33 6.56
 40.93 21.40 20.56 5.94 16.35 16.78 72.72 43.40 2.20 20.10 22.98 14.15 39.79 72.39 19.08 10.84 32.14 10.05
 44.64 19.65 22.68 7.53 17.38 15.53 81.22 42.05 9.33 20.78 25.97 14.25 47.41 80.84 16.07 11.57 33.41 15.56
 38.52 19.82 24.53 9.22 17.16 17.86 76.71 40.92 9.72 21.34 28.59 16.84 44.65 76.35 15.88 16.81 36.64 14.72
 41.79 18.43 29.97 9.83 20.55 22.29 72.20 43.56 10.69 18.99 25.43 23.64 51.34 71.91 13.46 20.47 47.00 16.63
 55.49 12.18 36.55 10.99 25.56 21.40 77.97 43.80 10.03 24.36 20.69 23.37 50.97 77.62 10.76 23.68 43.91 26.71
 73.67 17.63 44.35 12.74 30.44 25.13 69.38 43.66 13.97 31.48 25.98 30.22 54.56 69.12 15.61 27.61 46.95 45.04
 85.84 22.03 72.31 10.88 32.60 29.47 78.01 47.37 13.65 26.68 37.64 38.32 60.66 77.70 19.19 31.61 53.37 75.05
 76.08 20.48 78.12 11.63 44.79 29.84 100.00 47.52 13.95 29.19 57.25 32.88 53.49 99.49 19.34 35.65 53.03 76.38
 89.47 17.66 70.26 11.54 50.57 34.48 102.61 52.10 13.81 44.75 67.16 24.38 45.59 102.07 26.28 47.02 43.71 101.49
 92.94 20.79 55.99 10.84 49.26 36.44 96.95 57.40 15.32 49.61 86.07 33.41 30.90 96.42 34.38 62.30 41.42 79.30
 91.22 22.64 77.28 9.49 49.33 34.29 93.18 54.72 14.84 63.46 100.83 34.85 25.02 92.60 39.77 100.23 46.95 86.39
 81.43 33.65 79.35 18.06 45.09 38.38 51.05 46.44 16.69 100.00 61.73 32.86 23.97 50.80 44.68 90.24 58.03 74.92
 76.08 45.40 73.42 19.73 40.46 40.34 60.71 46.31 17.53 103.48 60.26 39.72 8.22 60.37 50.86 71.61 72.83 57.59
 91.93 67.70 80.48 22.50 44.61 44.85 64.76 42.59 31.30 91.51 58.39 44.35 7.48 64.38 55.62 63.53 78.55 50.81
 103.33 82.43 89.04 23.19 48.38 42.65 54.73 45.22 31.76 70.44 51.07 51.31 16.26 54.51 74.94 50.43 103.11 41.51
 93.31 102.04 78.10 23.04 49.66 40.81 70.35 45.13 30.94 55.45 35.18 49.75 16.72 69.99 65.64 49.97 96.60 30.17
 40.68 50.17 30.75 10.27 37.50 50.59 73.13 28.28 31.48 30.37 15.46 21.64 33.68 72.66 35.80 38.18 41.36 12.15
 16.17 34.85 25.23 8.98 36.43 50.01 68.39 2.37 35.68 27.51 15.10 18.61 23.74 67.81 28.17 35.02 27.64 11.94
 23.21 30.06 40.48 12.56 40.88 42.17 47.48 0.39 32.46 39.95 21.07 22.65 8.81 47.07 38.10 35.29 42.94 21.03
 41.34 35.16 56.27 15.56 52.69 41.33 44.35 28.25 47.36 56.43 32.57 29.70 3.81 44.11 42.99 36.02 52.01 30.30
 50.78 37.64 64.67 19.32 67.48 38.14 37.52 34.65 52.19 68.40 31.51 40.36 -0.13 37.40 44.51 33.22 57.98 42.86
 59.37 49.65 72.04 24.39 77.75 33.11 40.02 44.79 73.05 65.92 36.75 51.99 8.29 40.00 52.26 30.56 60.31 44.63
 55.51 53.94 69.09 30.36 85.27 33.51 43.98 51.37 89.75 56.43 42.97 62.78 14.51 44.01 54.73 30.19 59.72 37.34
 54.89 49.68 71.90 31.84 72.61 44.31 43.85 50.52 76.56 59.17 39.52 55.71 12.88 43.83 65.08 32.92 57.86 36.30
 67.68 57.81 88.05 65.80 70.48 49.08 40.52 53.60 88.75 71.09 44.10 73.34 16.30 40.63 85.45 41.76 65.36 44.55
